GeneSymbol,ExpPattern,AX_HVC_inc,AX_HVC_dec,AX_LMAN_inc,AX_LMAN_dec,AX_RA_inc,AX_RA_dec,HVC_AX_inc,HVC_AX_dec,HVC_LMAN_inc,HVC_LMAN_dec,HVC_RA_inc,HVC_RA_dec,LMAN_AX_inc,LMAN_AX_dec,LMAN_HVC_inc,LMAN_HVC_dec,LMAN_RA_inc,LMAN_RA_dec,RA_AX_inc,RA_AX_dec,RA_HVC_inc,RA_HVC_dec,RA_LMAN_inc,RA_LMAN_dec,AX_inc,AX_dec,HVC_inc,HVC_dec,LMAN_inc,LMAN_dec,RA_inc,RA_dec
CHAT,AXinc,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,1
PTPRD,HVCdec,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,2,0,0,3,2,0,1,2
CELF2,AXinc,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,1,1,0,1,0,2
ONECUT2,AXinc,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,1,1,0,1,0,2
SLC6A6,AXinc,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,3,0,1,1,0,1,0,2
LOC115495278,AXinc,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,1
VIT,AXinc,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,1
LOC100222632,AXinc,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,1
PFKFB3,AXinc&HVCdec,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,3,0,0,3,1,1,1,1
EBF1,AXinc,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,1
GAS6,AXinc,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0,1,0,1
